entregador_id,semana_id,entregas_realizadas,horas_online,avaliacao_media,cancelamentos,ativo
1,1,24,7.6,4.44,0,True
1,2,27,10.1,4.81,0,True
1,3,26,8.1,4.28,1,True
1,4,23,7.6,4.32,1,True
1,5,23,6.9,4.77,2,True
1,6,36,13.5,4.6,0,True
1,7,28,10.7,4.52,0,True
1,8,33,10.6,4.71,1,True
1,9,27,8.1,4.6,3,True
1,10,34,12.1,4.48,3,True
1,11,37,13.4,4.76,1,True
1,12,40,11.8,4.54,1,True
2,1,36,11.8,4.62,1,True
2,2,32,11.2,4.6,0,True
2,3,30,10.8,4.61,1,True
2,4,33,10.6,4.53,0,True
2,5,33,12.6,4.86,0,True
2,6,37,12.5,4.95,2,True
2,7,37,12.2,4.66,0,True
2,8,33,10.7,4.33,1,True
2,9,40,14.4,4.78,0,True
2,10,35,11.9,4.67,2,True
2,11,39,13.1,4.32,0,True
2,12,33,11.1,4.71,0,True
3,1,19,6.9,4.75,0,True
3,2,17,6.5,4.64,4,True
3,3,25,8.1,4.45,1,True
3,4,17,5.3,4.12,1,True
3,5,21,6.6,4.82,0,True
3,6,23,6.9,4.92,0,True
3,7,25,7.6,4.43,2,True
3,8,18,6.6,4.15,1,True
3,9,32,10.0,4.66,0,True
3,10,26,7.9,4.83,2,True
3,11,23,8.5,4.54,1,True
3,12,25,8.5,4.8,1,True
4,1,41,14.1,4.79,0,True
4,2,40,13.5,4.64,1,True
4,3,32,12.2,4.65,0,True
4,4,30,9.3,4.74,0,True
4,5,39,13.8,4.68,3,True
4,6,42,15.5,4.25,1,True
4,7,46,16.1,4.28,2,True
4,8,48,17.1,4.59,0,True
4,9,44,14.7,4.4,0,True
4,10,38,12.8,4.74,1,True
4,11,47,17.1,4.76,0,True
4,12,45,14.3,4.85,1,True
5,1,30,9.5,4.41,0,True
5,2,30,10.8,4.63,0,True
5,3,24,8.9,5.0,1,True
5,4,26,8.4,4.45,2,True
5,5,29,9.6,4.56,1,True
5,6,27,10.3,4.25,0,True
5,7,28,10.2,4.59,0,True
5,8,25,9.4,4.7,0,True
5,9,32,9.6,4.58,1,True
5,10,29,8.9,4.63,0,True
5,11,31,10.9,4.4,0,True
5,12,0,0.0,,0,False
6,1,33,12.3,4.42,0,True
6,2,30,9.7,4.34,0,True
6,3,33,12.5,4.83,0,True
6,4,31,9.4,4.63,1,True
6,5,36,12.3,4.62,1,True
6,6,35,11.9,4.87,0,True
6,7,38,11.3,4.4,0,True
6,8,42,12.9,4.91,0,True
6,9,49,16.1,4.42,0,True
6,10,42,15.8,4.63,0,True
6,11,36,10.7,4.66,0,True
6,12,36,11.3,4.41,0,True
7,1,28,9.4,4.75,0,True
7,2,18,5.4,4.45,0,True
7,3,23,8.4,4.68,0,True
7,4,26,9.9,4.51,0,True
7,5,20,6.0,4.16,1,True
7,6,35,11.6,4.78,0,True
7,7,29,10.0,4.14,0,True
7,8,28,9.7,4.47,1,True
7,9,33,10.9,4.49,1,True
7,10,32,9.4,4.92,0,True
7,11,29,9.1,4.58,2,True
7,12,29,8.9,4.33,0,True
8,1,39,11.9,4.67,0,True
8,2,33,10.4,4.37,0,True
8,3,37,13.4,4.52,2,True
8,4,39,14.8,4.2,0,True
8,5,45,13.4,4.58,1,True
8,6,39,12.9,4.66,3,True
8,7,45,15.6,4.8,0,True
8,8,39,11.7,4.7,0,True
8,9,49,17.4,3.83,0,True
8,10,43,14.3,4.91,0,True
8,11,46,15.6,4.69,1,True
8,12,40,14.6,4.89,1,True
9,1,40,12.2,4.41,0,True
9,2,35,10.7,3.91,1,True
9,3,44,14.7,4.92,0,True
9,4,38,12.7,4.61,2,True
9,5,45,14.9,4.7,0,True
9,6,37,12.8,4.73,2,True
9,7,34,12.2,4.67,0,True
9,8,37,10.9,4.81,1,True
9,9,36,12.5,4.55,2,True
9,10,42,13.8,4.76,3,True
9,11,37,13.0,4.9,3,True
9,12,46,17.1,4.88,1,True
10,1,31,11.2,4.57,0,True
10,2,27,10.2,4.43,2,True
10,3,30,10.5,4.77,2,True
10,4,35,10.3,4.78,0,True
10,5,32,10.5,4.49,0,True
10,6,37,11.8,4.85,2,True
10,7,32,11.9,4.67,2,True
10,8,41,14.8,4.24,2,True
10,9,37,11.2,4.13,1,True
10,10,36,13.1,5.0,2,True
10,11,39,12.0,4.63,2,True
10,12,32,11.0,4.85,2,True
11,1,24,7.4,5.0,0,True
11,2,25,7.7,4.47,0,True
11,3,19,6.3,4.62,1,True
11,4,15,5.4,4.27,0,True
11,5,19,6.9,4.49,1,True
11,6,20,7.4,4.68,3,True
11,7,24,9.2,5.0,2,True
11,8,21,7.0,4.81,0,True
11,9,23,7.9,4.8,0,True
11,10,19,6.3,5.0,2,True
11,11,24,8.5,4.85,0,True
11,12,25,7.8,4.69,1,True
12,1,40,12.8,4.8,0,True
12,2,35,10.7,4.74,1,True
12,3,34,10.4,5.0,0,True
12,4,33,11.5,4.46,1,True
12,5,39,12.5,4.86,1,True
12,6,42,12.5,4.7,1,True
12,7,40,14.7,5.0,0,True
12,8,36,10.9,4.49,1,True
12,9,35,12.7,4.96,4,True
12,10,39,13.3,4.71,0,True
12,11,50,18.8,4.97,2,True
12,12,39,14.1,4.94,0,True
13,1,32,10.5,4.72,0,True
13,2,37,11.4,4.76,2,True
13,3,27,9.1,4.91,0,True
13,4,36,12.9,4.95,0,True
13,5,40,13.4,4.35,1,True
13,6,32,10.4,4.45,0,True
13,7,37,12.3,4.83,2,True
13,8,45,16.5,4.46,0,True
13,9,44,14.0,4.59,2,True
13,10,43,13.0,4.77,1,True
13,11,42,13.3,4.75,0,True
13,12,36,12.1,4.56,0,True
14,1,22,6.5,4.34,0,True
14,2,26,9.3,4.59,1,True
14,3,21,6.5,4.35,0,True
14,4,16,5.0,4.63,0,True
14,5,24,8.5,4.77,0,True
14,6,27,9.8,4.69,1,True
14,7,28,10.2,4.54,0,True
14,8,21,7.6,4.16,0,True
14,9,19,5.8,4.34,3,True
14,10,27,8.6,4.38,0,True
14,11,29,8.6,4.65,3,True
14,12,26,9.9,4.58,0,True
15,1,30,10.7,4.64,0,True
15,2,30,10.4,4.17,2,True
15,3,29,8.9,4.28,3,True
15,4,28,8.9,4.54,2,True
15,5,27,9.7,4.85,1,True
15,6,29,8.8,4.34,0,True
15,7,24,8.5,4.87,0,True
15,8,31,9.9,4.82,3,True
15,9,27,8.5,5.0,1,True
15,10,32,10.3,4.56,0,True
15,11,32,9.9,4.72,0,True
15,12,28,9.1,4.87,0,True
16,1,32,11.0,4.46,1,True
16,2,29,9.3,4.88,1,True
16,3,31,10.9,4.44,0,True
16,4,35,11.5,4.39,0,True
16,5,25,9.6,4.26,0,True
16,6,30,9.9,4.6,0,True
16,7,35,12.2,4.81,0,True
16,8,34,12.7,4.6,0,True
16,9,0,0.0,,0,False
16,10,0,0.0,,0,False
16,11,0,0.0,,0,False
16,12,0,0.0,,0,False
17,1,40,13.0,5.0,0,True
17,2,0,0.0,,0,False
17,3,0,0.0,,0,False
17,4,0,0.0,,0,False
17,5,0,0.0,,0,False
17,6,0,0.0,,0,False
17,7,0,0.0,,0,False
17,8,0,0.0,,0,False
17,9,0,0.0,,0,False
17,10,0,0.0,,0,False
17,11,0,0.0,,0,False
17,12,0,0.0,,0,False
18,1,34,11.0,4.72,0,True
18,2,32,9.4,4.62,2,True
18,3,29,9.2,4.46,1,True
18,4,30,10.7,4.94,0,True
18,5,36,13.8,4.63,1,True
18,6,33,10.7,5.0,1,True
18,7,36,10.9,4.74,1,True
18,8,24,9.2,4.04,0,True
18,9,28,9.9,4.68,0,True
18,10,35,10.6,4.68,1,True
18,11,30,10.5,4.71,0,True
18,12,29,9.0,4.43,0,True
19,1,32,10.5,4.8,0,True
19,2,35,11.8,4.5,0,True
19,3,32,9.8,4.74,2,True
19,4,33,12.3,4.99,0,True
19,5,38,12.5,4.66,2,True
19,6,40,13.1,4.26,1,True
19,7,0,0.0,,0,False
19,8,0,0.0,,0,False
19,9,0,0.0,,0,False
19,10,0,0.0,,0,False
19,11,0,0.0,,0,False
19,12,0,0.0,,0,False
20,1,42,12.9,4.41,0,True
20,2,43,13.4,4.41,0,True
20,3,38,13.4,4.57,2,True
20,4,42,15.7,4.79,0,True
20,5,33,11.1,4.35,0,True
20,6,45,13.7,4.28,0,True
20,7,44,15.7,4.2,2,True
20,8,50,16.1,4.59,2,True
20,9,42,14.1,4.57,1,True
20,10,52,16.7,4.66,1,True
20,11,47,17.0,4.66,1,True
20,12,46,15.9,4.48,0,True
21,1,45,15.2,4.52,4,True
21,2,30,9.7,4.53,0,True
21,3,35,10.9,4.63,0,True
21,4,34,11.2,4.69,4,True
21,5,38,13.0,4.6,1,True
21,6,44,14.1,4.74,0,True
21,7,48,14.3,4.63,0,True
21,8,44,14.9,4.57,0,True
21,9,45,16.0,4.72,0,True
21,10,50,18.2,4.37,1,True
21,11,41,13.9,4.48,0,True
21,12,49,15.3,5.0,0,True
22,1,17,6.0,4.71,1,True
22,2,17,5.3,4.79,1,True
22,3,10,3.5,4.86,0,True
22,4,17,6.4,4.48,0,True
22,5,0,0.0,,0,False
22,6,0,0.0,,0,False
22,7,0,0.0,,0,False
22,8,0,0.0,,0,False
22,9,0,0.0,,0,False
22,10,0,0.0,,0,False
22,11,0,0.0,,0,False
22,12,0,0.0,,0,False
23,1,25,9.2,4.84,1,True
23,2,26,9.8,4.32,4,True
23,3,31,10.7,4.58,2,True
23,4,25,9.4,4.9,2,True
23,5,29,11.1,4.39,2,True
23,6,35,12.9,4.74,3,True
23,7,32,12.3,4.44,0,True
23,8,39,12.3,4.73,1,True
23,9,32,12.3,4.66,0,True
23,10,37,11.5,5.0,0,True
23,11,31,11.2,4.57,1,True
23,12,34,12.7,4.43,0,True
24,1,31,10.7,4.44,3,True
24,2,33,11.5,4.84,1,True
24,3,0,0.0,,0,False
24,4,0,0.0,,0,False
24,5,0,0.0,,0,False
24,6,0,0.0,,0,False
24,7,0,0.0,,0,False
24,8,0,0.0,,0,False
24,9,0,0.0,,0,False
24,10,0,0.0,,0,False
24,11,0,0.0,,0,False
24,12,0,0.0,,0,False
25,1,24,8.5,4.76,0,True
25,2,15,5.3,4.74,0,True
25,3,17,6.4,4.51,0,True
25,4,18,5.6,4.3,0,True
25,5,18,5.8,4.86,2,True
25,6,28,10.4,4.51,0,True
25,7,29,10.5,4.61,1,True
25,8,29,10.1,4.27,1,True
25,9,30,9.4,4.18,1,True
25,10,22,7.8,4.75,0,True
25,11,30,11.3,4.82,2,True
25,12,28,8.8,4.88,0,True
26,1,31,10.5,4.68,2,True
26,2,35,11.6,4.25,1,True
26,3,28,9.7,4.38,2,True
26,4,36,11.1,4.7,0,True
26,5,29,9.0,4.87,1,True
26,6,24,9.1,4.84,1,True
26,7,37,11.8,4.46,0,True
26,8,34,11.0,4.87,0,True
26,9,30,11.1,4.48,1,True
26,10,32,10.6,4.49,0,True
26,11,38,11.3,4.84,2,True
26,12,27,8.9,4.47,0,True
27,1,37,11.7,4.82,0,True
27,2,41,15.4,4.2,1,True
27,3,40,13.3,4.75,2,True
27,4,37,13.8,4.5,0,True
27,5,36,12.7,4.33,2,True
27,6,39,13.6,4.54,0,True
27,7,39,14.6,4.62,2,True
27,8,27,9.6,4.91,1,True
27,9,37,12.0,4.65,0,True
27,10,32,9.7,4.53,2,True
27,11,32,10.5,4.6,0,True
27,12,0,0.0,,0,False
28,1,23,6.9,4.53,0,True
28,2,31,9.6,4.58,0,True
28,3,22,7.1,4.47,0,True
28,4,0,0.0,,0,False
28,5,0,0.0,,0,False
28,6,0,0.0,,0,False
28,7,0,0.0,,0,False
28,8,0,0.0,,0,False
28,9,0,0.0,,0,False
28,10,0,0.0,,0,False
28,11,0,0.0,,0,False
28,12,0,0.0,,0,False
29,1,29,9.8,4.75,0,True
29,2,31,9.5,4.48,2,True
29,3,27,8.9,4.78,2,True
29,4,32,9.7,4.09,0,True
29,5,28,8.7,4.63,1,True
29,6,32,10.3,4.87,1,True
29,7,33,11.7,5.0,5,True
29,8,30,9.3,4.53,1,True
29,9,32,10.9,4.88,0,True
29,10,35,13.3,4.59,1,True
29,11,34,12.2,4.39,0,True
29,12,31,10.2,4.63,0,True
30,1,20,6.7,5.0,0,True
30,2,30,9.9,4.21,1,True
30,3,20,6.0,4.07,1,True
30,4,23,8.4,4.84,2,True
30,5,29,9.0,4.54,0,True
30,6,28,9.6,4.96,0,True
30,7,34,10.6,4.75,0,True
30,8,33,10.2,4.64,1,True
30,9,32,11.2,4.73,0,True
30,10,34,10.3,4.57,1,True
30,11,30,10.0,4.76,1,True
30,12,25,9.1,4.99,1,True
31,1,26,8.4,4.55,0,True
31,2,28,8.3,4.83,0,True
31,3,24,7.7,4.69,2,True
31,4,32,9.5,4.41,0,True
31,5,25,7.7,4.17,1,True
31,6,32,9.8,4.39,0,True
31,7,28,9.6,4.95,1,True
31,8,34,12.3,4.78,0,True
31,9,32,12.1,4.13,3,True
31,10,39,14.4,4.58,1,True
31,11,33,11.5,4.46,1,True
31,12,34,12.9,5.0,0,True
32,1,32,11.6,4.84,0,True
32,2,43,14.8,4.8,1,True
32,3,38,12.9,4.41,0,True
32,4,31,10.1,4.9,0,True
32,5,41,13.1,4.44,4,True
32,6,49,15.4,4.78,1,True
32,7,46,14.0,4.53,3,True
32,8,46,13.7,4.53,1,True
32,9,51,18.2,4.96,1,True
32,10,49,14.9,4.54,0,True
32,11,46,13.9,4.7,0,True
32,12,46,15.5,4.6,1,True
33,1,29,8.7,4.74,1,True
33,2,23,8.7,4.43,1,True
33,3,28,8.4,4.34,2,True
33,4,32,12.0,4.58,1,True
33,5,24,8.6,4.56,2,True
33,6,24,8.6,4.73,0,True
33,7,29,9.3,4.53,1,True
33,8,27,9.8,4.38,0,True
33,9,29,9.3,4.61,2,True
33,10,32,12.1,4.76,0,True
33,11,24,7.6,5.0,2,True
33,12,32,10.5,4.48,0,True
34,1,27,9.1,5.0,0,True
34,2,36,12.2,4.92,0,True
34,3,32,10.2,4.54,1,True
34,4,32,10.0,4.7,0,True
34,5,35,12.4,4.75,0,True
34,6,36,11.1,4.83,1,True
34,7,34,10.8,4.87,1,True
34,8,32,10.3,4.69,0,True
34,9,37,13.7,4.3,0,True
34,10,39,14.9,4.48,3,True
34,11,0,0.0,,0,False
34,12,0,0.0,,0,False
35,1,22,6.5,4.34,1,True
35,2,17,5.6,4.68,2,True
35,3,20,7.3,4.67,2,True
35,4,18,5.5,4.58,1,True
35,5,23,7.0,4.58,0,True
35,6,19,6.3,4.66,0,True
35,7,17,5.9,4.56,0,True
35,8,21,6.4,4.57,2,True
35,9,21,7.0,4.62,0,True
35,10,29,10.8,4.4,0,True
35,11,15,5.5,4.62,0,True
35,12,20,7.1,4.7,3,True
36,1,36,10.7,5.0,0,True
36,2,40,12.7,4.48,0,True
36,3,41,13.9,4.68,1,True
36,4,45,16.9,4.91,0,True
36,5,37,11.9,4.53,0,True
36,6,35,12.1,4.34,0,True
36,7,35,10.3,4.44,0,True
36,8,42,15.1,4.54,0,True
36,9,34,12.4,4.34,0,True
36,10,49,16.2,4.27,1,True
36,11,38,13.5,4.7,1,True
36,12,42,15.0,4.82,0,True
37,1,28,10.2,4.34,3,True
37,2,37,11.1,4.62,0,True
37,3,32,11.9,4.65,0,True
37,4,33,10.1,4.11,1,True
37,5,42,15.0,4.5,0,True
37,6,26,7.7,4.85,1,True
37,7,38,13.4,4.49,0,True
37,8,30,9.5,4.45,1,True
37,9,34,10.8,4.43,0,True
37,10,32,10.9,4.79,0,True
37,11,32,10.5,4.4,1,True
37,12,37,13.0,4.67,2,True
38,1,27,10.1,4.54,1,True
38,2,32,10.4,5.0,2,True
38,3,26,9.1,4.69,0,True
38,4,35,10.5,4.57,0,True
38,5,28,9.3,4.65,0,True
38,6,24,8.4,4.36,3,True
38,7,0,0.0,,0,False
38,8,0,0.0,,0,False
38,9,0,0.0,,0,False
38,10,0,0.0,,0,False
38,11,0,0.0,,0,False
38,12,0,0.0,,0,False
39,1,31,10.3,4.75,3,True
39,2,32,10.6,4.56,1,True
39,3,33,11.3,4.46,0,True
39,4,36,12.8,4.7,1,True
39,5,36,12.1,4.75,0,True
39,6,37,12.5,4.44,1,True
39,7,33,10.6,4.05,0,True
39,8,33,11.1,4.3,2,True
39,9,31,10.0,4.82,2,True
39,10,30,10.0,4.49,1,True
39,11,30,10.0,4.74,1,True
39,12,35,11.6,4.74,1,True
40,1,21,6.5,4.0,2,True
40,2,24,8.1,4.74,1,True
40,3,26,8.5,4.42,1,True
40,4,0,0.0,,0,False
40,5,0,0.0,,0,False
40,6,0,0.0,,0,False
40,7,0,0.0,,0,False
40,8,0,0.0,,0,False
40,9,0,0.0,,0,False
40,10,0,0.0,,0,False
40,11,0,0.0,,0,False
40,12,0,0.0,,0,False
41,1,38,13.8,4.58,0,True
41,2,36,10.9,4.85,0,True
41,3,36,10.6,4.45,2,True
41,4,36,10.9,4.55,2,True
41,5,37,11.7,4.57,1,True
41,6,38,13.2,4.43,0,True
41,7,41,15.4,4.71,1,True
41,8,32,9.7,4.68,2,True
41,9,40,12.4,4.62,2,True
41,10,35,13.3,4.68,1,True
41,11,37,12.8,5.0,0,True
41,12,38,11.4,4.42,2,True
42,1,25,8.1,4.39,0,True
42,2,21,6.9,4.4,1,True
42,3,0,0.0,,0,False
42,4,0,0.0,,0,False
42,5,0,0.0,,0,False
42,6,0,0.0,,0,False
42,7,0,0.0,,0,False
42,8,0,0.0,,0,False
42,9,0,0.0,,0,False
42,10,0,0.0,,0,False
42,11,0,0.0,,0,False
42,12,0,0.0,,0,False
43,1,34,13.0,4.6,1,True
43,2,29,9.6,4.74,0,True
43,3,29,9.4,4.9,2,True
43,4,31,10.0,4.3,0,True
43,5,33,10.3,4.43,1,True
43,6,30,10.1,4.91,0,True
43,7,36,12.0,4.76,0,True
43,8,31,11.1,4.34,3,True
43,9,33,12.4,4.53,0,True
43,10,29,8.6,4.85,1,True
43,11,34,10.9,4.88,1,True
43,12,33,12.1,4.4,0,True
44,1,27,9.9,4.33,0,True
44,2,29,8.7,4.79,1,True
44,3,32,9.8,4.8,0,True
44,4,33,10.8,4.43,1,True
44,5,22,7.5,4.92,1,True
44,6,25,7.8,4.55,0,True
44,7,25,7.5,4.6,1,True
44,8,29,9.1,4.68,0,True
44,9,29,11.1,4.59,1,True
44,10,24,8.6,4.42,0,True
44,11,28,10.0,4.49,0,True
44,12,29,10.0,5.0,2,True
45,1,24,9.1,4.48,2,True
45,2,27,9.0,4.46,0,True
45,3,19,6.1,4.73,1,True
45,4,22,8.3,4.41,0,True
45,5,28,8.3,4.69,0,True
45,6,29,8.5,4.84,1,True
45,7,35,11.7,4.45,1,True
45,8,25,8.4,4.57,1,True
45,9,34,10.6,4.43,0,True
45,10,32,9.8,4.19,0,True
45,11,37,12.4,4.37,2,True
45,12,29,9.8,4.59,0,True
46,1,39,12.2,4.92,1,True
46,2,28,10.4,4.57,0,True
46,3,33,11.8,4.91,0,True
46,4,39,12.2,4.79,2,True
46,5,38,13.3,4.55,1,True
46,6,41,12.5,4.65,0,True
46,7,40,11.8,4.25,0,True
46,8,34,12.1,4.34,0,True
46,9,43,16.5,4.95,0,True
46,10,40,12.6,4.7,2,True
46,11,39,14.3,4.7,1,True
46,12,45,15.8,4.6,0,True
47,1,29,10.5,4.41,0,True
47,2,29,9.2,4.66,3,True
47,3,33,10.6,4.61,0,True
47,4,28,10.1,4.52,1,True
47,5,28,9.6,4.26,3,True
47,6,35,12.6,4.8,2,True
47,7,28,9.8,4.53,0,True
47,8,29,9.6,4.84,3,True
47,9,34,11.9,4.68,0,True
47,10,35,12.2,4.54,1,True
47,11,35,12.8,5.0,0,True
47,12,33,12.5,4.68,2,True
48,1,27,8.2,4.74,0,True
48,2,32,9.7,4.63,0,True
48,3,31,9.8,4.69,1,True
48,4,35,10.8,4.29,1,True
48,5,31,11.8,4.54,1,True
48,6,34,12.8,4.71,3,True
48,7,35,10.7,4.69,1,True
48,8,36,12.3,4.8,0,True
48,9,32,9.9,4.73,0,True
48,10,32,11.3,4.99,0,True
48,11,36,11.7,4.51,1,True
48,12,36,12.0,4.59,0,True
49,1,31,10.0,4.92,0,True
49,2,30,9.7,4.49,0,True
